## Filter transmission curves for all possible WFC filters
## EE is encircled energy (%) at a given radius in pixels
## arcsec. EEERR is the std dev. 
## From M Sirianni
##
## K Anderson, 3-10-2003
##
## 2nd block of data has been removed
##
# 1	radius_pix
# 2	radius_asec
# 3	EE_F435W
# 4	EEERR_F435W
# 5	EE_F475W
# 6	EEERR_F475W
# 7	EE_F502N
# 8	EEERR_F502N
# 9	EE_F550M
# 10	EEERR_F550M
# 11	EE_F555W
# 12	EEERR_F555W
# 13	EE_F606W
# 14	EEERR_F606W
# 15	EE_F625W
# 16	EEERR_F625W
# 17	EE_F658N
# 18	EEERR_F658N
# 19	EE_F660N
# 20	EEERR_F660N
# 21	EE_F775W
# 22	EEERR_F775W
# 23	EE_F814W
# 24	EEERR_F814W
# 25	EE_F850LP
# 26	EEERR_F850LP
# 27	EE_F892N
# 28	EEERR_F892N
##
##                      F435W	      F475W	       F502N	       F550M 	       F555W	       F606W	      F625W	       F658N           F660N	      F775W	        F814W	      F850LP         F892N
##   pix   arcsec    ee      stdv   ee      stdv    ee      stdv     ee    stdv     ee     stdv      ee     stdv    ee      stdv    ee      stdv    ee      stdv    ee      stdv    ee      stdv     ee    stdv     ee      stdv
  20.000   1.000  93.959   0.142  95.228   0.305  94.983   0.205  95.876   0.017  94.844   0.215  95.199   0.044  95.159   0.057  95.550   0.104  95.870   0.140  95.491   0.133  95.537   0.103  94.568   0.176  94.730   0.022
  21.000   1.050  94.223   0.141  95.464   0.302  95.182   0.204  96.067   0.023  95.033   0.216  95.366   0.045  95.315   0.055  95.691   0.107  96.018   0.143  95.679   0.138  95.731   0.106  94.863   0.174  94.974   0.025
  22.000   1.100  94.484   0.144  95.697   0.298  95.359   0.206  96.256   0.015  95.208   0.220  95.525   0.048  95.459   0.052  95.832   0.112  96.152   0.140  95.836   0.142  95.903   0.102  95.135   0.169  95.200   0.028
  23.000   1.150  94.757   0.146  96.133   0.228  95.548   0.201  96.434   0.008  95.392   0.220  95.678   0.051  95.598   0.049  95.981   0.113  96.312   0.143  95.981   0.138  96.051   0.100  95.373   0.167  95.377   0.032
  24.000   1.200  95.005   0.147  96.605   0.042  95.749   0.194  96.598   0.005  95.567   0.221  95.842   0.051  95.738   0.042  96.109   0.113  96.461   0.155  96.098   0.133  96.176   0.097  95.582   0.165  95.521   0.033
  25.000   1.250  95.217   0.153  96.806   0.040  95.961   0.192  96.743   0.007  95.730   0.224  95.987   0.053  95.857   0.040  96.231   0.109  96.589   0.172  96.196   0.132  96.202   0.047  95.761   0.168  95.655   0.037
  26.000   1.300  95.432   0.161  96.550   0.295  96.151   0.194  96.875   0.005  95.894   0.219  96.136   0.054  95.981   0.035  96.366   0.110  96.729   0.188  96.294   0.131  96.311   0.043  95.914   0.169  95.786   0.036
  27.000   1.350  95.674   0.170  96.750   0.293  96.319   0.195  97.000   0.008  96.063   0.214  96.298   0.053  96.120   0.032  96.491   0.106  96.860   0.174  96.396   0.131  96.430   0.039  96.066   0.167  95.888   0.039
  28.000   1.400  95.918   0.172  96.953   0.296  96.338   0.101  97.159   0.012  96.224   0.210  96.462   0.047  96.281   0.029  96.615   0.101  96.981   0.157  96.504   0.134  96.605   0.010  96.218   0.166  95.982   0.041
  29.000   1.450  96.149   0.171  97.156   0.300  96.394   0.019  97.314   0.002  96.386   0.199  96.603   0.047  96.417   0.031  96.737   0.102  97.098   0.168  96.612   0.133  96.735   0.085  96.356   0.159  96.151   0.092
  30.000   1.500  96.383   0.177  97.355   0.296  96.647   0.092  97.454   0.036  96.541   0.200  96.734   0.047  96.543   0.025  96.852   0.101  97.218   0.179  96.708   0.133  96.829   0.083  96.466   0.146  96.257   0.088
  31.000   1.550  96.608   0.184  97.553   0.295  96.807   0.100  97.599   0.032  96.696   0.202  96.874   0.046  96.632   0.005  96.962   0.107  97.317   0.204  96.805   0.128  96.928   0.082  96.572   0.141  96.427   0.121
  32.000   1.600  96.814   0.185  97.750   0.297  96.879   0.015  97.756   0.013  96.856   0.202  97.019   0.047  96.782   0.031  97.085   0.113  97.467   0.255  96.911   0.121  97.025   0.084  96.683   0.135  96.522   0.129
  33.000   1.650  97.006   0.181  97.931   0.301  97.083   0.011  97.896   0.047  97.017   0.197  97.159   0.046  96.908   0.039  97.230   0.122  97.607   0.269  96.997   0.116  97.114   0.088  96.791   0.126  96.615   0.126
  34.000   1.700  97.183   0.183  98.102   0.300  97.276   0.013  98.019   0.056  97.347   0.112  97.300   0.044  97.034   0.041  97.352   0.128  97.701   0.274  97.078   0.117  97.189   0.088  96.897   0.129  96.722   0.127
  35.000   1.750  97.334   0.196  98.256   0.294  97.545   0.087  98.152   0.091  97.336   0.196  97.439   0.052  97.152   0.042  97.451   0.126  97.797   0.274  97.177   0.121  97.265   0.090  96.992   0.124  96.836   0.126
  36.000   1.800  97.479   0.205  98.411   0.289  97.704   0.074  98.298   0.093  97.492   0.197  97.578   0.061  97.258   0.043  97.559   0.129  97.913   0.298  97.290   0.118  97.361   0.094  97.094   0.129  96.914   0.128
  37.000   1.850  97.619   0.205  98.558   0.285  97.871   0.080  98.450   0.108  97.643   0.200  97.719   0.064  97.419   0.012  97.665   0.132  98.030   0.305  97.399   0.118  97.464   0.099  97.184   0.137  96.986   0.124
  38.000   1.900  97.733   0.207  98.709   0.283  98.155   0.169  98.604   0.123  97.788   0.205  97.853   0.070  97.547   0.009  97.758   0.131  98.132   0.305  97.507   0.126  97.554   0.098  97.280   0.139  97.058   0.126
  39.000   1.950  97.846   0.208  98.833   0.284  98.295   0.168  98.715   0.096  97.911   0.203  98.002   0.070  97.662   0.018  97.839   0.127  98.202   0.259  97.595   0.126  97.631   0.101  97.370   0.140  97.124   0.127
  40.000   2.000  97.957   0.207  98.931   0.278  98.413   0.171  98.804   0.058  98.022   0.194  98.139   0.068  97.709   0.060  97.916   0.124  98.271   0.238  97.670   0.132  97.617   0.057  97.444   0.138  97.204   0.127
  41.000   2.050  98.050   0.206  99.028   0.281  98.515   0.182  98.912   0.040  98.128   0.197  98.238   0.077  97.807   0.057  97.997   0.129  98.342   0.247  97.743   0.141  97.681   0.063  97.516   0.142  97.258   0.138
  42.000   2.100  98.131   0.211  99.127   0.282  98.605   0.192  99.043   0.047  98.218   0.204  98.333   0.085  97.900   0.063  98.085   0.139  98.453   0.253  97.819   0.148  97.727   0.067  97.598   0.147  97.318   0.138
